"State","Agency_type","Agency_name","Race","Religion","Sexual_orientation","Ethnicity","Disability","Gender","Gender_Identity","column_1st_quarter","column_2nd_quarter","column_3rd_quarter","column_4th_quarter","Population"
"Alabama","Cities","Florence","2","0","0","0","0","0","0","0","1","0","1","39481"
"Alabama","Cities","Hoover","0","0","1","0","0","0","0","0","1","0","0","84139"
"Alabama","Cities","Prattville","2","0","0","0","0","0","0","1","0","1","0","35154"
"Alabama","Cities","Tuscaloosa","1","0","0","0","0","0","0","0","0","1","0","94126"
"Alaska","Cities","Anchorage","8","0","0","0","0","0","0","2","3","3","0","299455"
"Arizona","Cities","Apache Junction","1","0","0","0","0","0","0","1","0","0","0","36626"
"Arizona","Cities","Avondale","4","0","0","1","0","0","0","1","1","3","0","78905"
"Arizona","Cities","Eagar","0","0","0","1","0","0","0","0","1","0","0","5034"
"Arizona","Cities","El Mirage","1","0","0","0","0","0","0","0","0","1","0","32837"
"Arizona","Cities","Gilbert","1","0","0","0","0","0","0","1","0","0","0","225232"
"Arizona","Cities","Glendale","2","3","1","1","0","0","0","2","0","3","2","234006"
"Arizona","Cities","Goodyear","0","0","2","0","0","0","0","1","0","1","0","71048"
"Arizona","Cities","Maricopa","1","0","0","0","0","0","0","0","0","0","1","44871"
"Arizona","Cities","Mesa","1","1","0","0","0","0","0","2","0","0","0","456155"
"Arizona","Cities","Phoenix","40","12","14","14","1","0","0","25","21","35","0","1502139"
"Arizona","Cities","Prescott","0","0","0","1","0","0","0","0","0","0","1","40752"
"Arizona","Cities","Scottsdale","0","1","0","1","0","0","0","0","0","0","2","225523"
"Arizona","Cities","Tempe","1","0","2","0","0","0","0","2","0","1","0","168501"
"Arizona","Cities","Tucson","13","6","6","1","0","0","0","8","8","6","4","525486"
"Arizona","Cities","Yuma","3","4","0","3","0","0","0","3","5","0","2","96014"
"Arizona","Universities and Colleges","Northern Arizona University","0","0","1","0","0","0","0","0","0","0","1","25991"
"Arizona","Universities and Colleges","University of Arizona","2","0","0","0","0","0","0","2","0","0","0","40223"
"Arizona","Metropolitan Counties","Cochise","0","1","0","0","0","0","0","0","0","0","1","0"
"Arizona","Metropolitan Counties","Maricopa","1","1","0","0","0","0","0","0","0","0","2","0"
